[0, 'video_1.mp4', 17.899, '15:59:04', '2021-05-10', '']
[0, 'video_3.mp4', 17.899, '15:59:04', '2021-05-10', '']
[0, 'video.mp4', 17.6689, '15:59:04', '2021-05-10', '']
[0, 'video_1.mp4', 17.6689, '15:59:04', '2021-05-10', '']
[0, 'video_2.mp4', 17.6689, '15:59:04', '2021-05-10', '']
[0, 'video_3.mp4', 17.6689, '15:59:04', '2021-05-10', '']
[0, 'video.mp4', 19.1031, '15:59:04', '2021-05-10', '']
[0, 'video_1.mp4', 19.1031, '15:59:04', '2021-05-10', '']
[0, 'video_2.mp4', 19.1031, '15:59:04', '2021-05-10', '']
[0, 'video_3.mp4', 19.1031, '15:59:04', '2021-05-10', '']
[0, 'video.mp4', 18.4017, '15:59:05', '2021-05-10', '']
[0, 'video_1.mp4', 18.4017, '15:59:05', '2021-05-10', '']
[0, 'video_3.mp4', 18.4017, '15:59:05', '2021-05-10', '']
[0, 'video_2.mp4', 18.4017, '15:59:05', '2021-05-10', '']
[0, 'video.mp4', 16.887, '15:59:05', '2021-05-10', '']
[0, 'video_1.mp4', 16.887, '15:59:05', '2021-05-10', '']
[0, 'video_3.mp4', 16.887, '15:59:05', '2021-05-10', '']
[0, 'video_2.mp4', 16.887, '15:59:05', '2021-05-10', '']
[0, 'video.mp4', 17.7144, '15:59:05', '2021-05-10', '']
[0, 'video_1.mp4', 17.7144, '15:59:05', '2021-05-10', '']
[0, 'video_2.mp4', 17.7144, '15:59:06', '2021-05-10', '']
[0, 'video_3.mp4', 17.7144, '15:59:06', '2021-05-10', '']
[0, 'video.mp4', 19.0568, '15:59:06', '2021-05-10', '']
[0, 'video_1.mp4', 19.0568, '15:59:06', '2021-05-10', '']
[0, 'video_3.mp4', 19.0568, '15:59:06', '2021-05-10', '']
[0, 'video_2.mp4', 19.0568, '15:59:06', '2021-05-10', '']
[0, 'video.mp4', 18.408, '15:59:06', '2021-05-10', '']
[0, 'video_1.mp4', 18.408, '15:59:06', '2021-05-10', '']
[0, 'video_3.mp4', 18.408, '15:59:06', '2021-05-10', '']
[0, 'video_2.mp4', 18.408, '15:59:06', '2021-05-10', '']
[0, 'video.mp4', 17.821, '15:59:07', '2021-05-10', '']
[0, 'video_1.mp4', 17.821, '15:59:07', '2021-05-10', '']
[0, 'video_2.mp4', 17.821, '15:59:07', '2021-05-10', '']
[0, 'video_3.mp4', 17.821, '15:59:07', '2021-05-10', '']
[0, 'video.mp4', 17.359, '15:59:07', '2021-05-10', '']
[0, 'video_1.mp4', 17.359, '15:59:07', '2021-05-10', '']
[0, 'video.mp4', 20.3908, '15:59:09', '2021-05-10', '']
[0, 'video_1.mp4', 20.3908, '15:59:09', '2021-05-10', '']
[0, 'video_3.mp4', 20.3908, '15:59:09', '2021-05-10', '']
[0, 'video_2.mp4', 20.3908, '15:59:09', '2021-05-10', '']
[0, 'video.mp4', 19.8913, '15:59:09', '2021-05-10', '']
[0, 'video_1.mp4', 19.8913, '15:59:10', '2021-05-10', '']
[0, 'video_3.mp4', 19.8913, '15:59:10', '2021-05-10', '']
[0, 'video_2.mp4', 19.8913, '15:59:10', '2021-05-10', '']
[0, 'video.mp4', 20.5898, '15:59:10', '2021-05-10', '']
