['video_3.mp4', '17.8697%', datetime.datetime(2021, 5, 8, 23, 1, 48, 453253)]
['video_2.mp4', '17.8697%', datetime.datetime(2021, 5, 8, 23, 1, 48, 469268)]
['video_1.mp4', '18.4977%', datetime.datetime(2021, 5, 8, 23, 1, 48, 630409)]
['video_3.mp4', '18.4977%', datetime.datetime(2021, 5, 8, 23, 1, 48, 645422)]
['video_2.mp4', '18.4977%', datetime.datetime(2021, 5, 8, 23, 1, 48, 662438)]
['video_1.mp4', '18.5281%', datetime.datetime(2021, 5, 8, 23, 1, 48, 819534)]
['video_3.mp4', '18.5281%', datetime.datetime(2021, 5, 8, 23, 1, 48, 835548)]
['video_2.mp4', '18.5281%', datetime.datetime(2021, 5, 8, 23, 1, 48, 851562)]
['video_1.mp4', '18.6050%', datetime.datetime(2021, 5, 8, 23, 1, 49, 7455)]
['video_3.mp4', '18.6050%', datetime.datetime(2021, 5, 8, 23, 1, 49, 22468)]
['video_2.mp4', '18.6050%', datetime.datetime(2021, 5, 8, 23, 1, 49, 38482)]
['video_1.mp4', '17.8535%', datetime.datetime(2021, 5, 8, 23, 1, 49, 194540)]
['video_3.mp4', '17.8535%', datetime.datetime(2021, 5, 8, 23, 1, 49, 210555)]
['video_2.mp4', '17.8535%', datetime.datetime(2021, 5, 8, 23, 1, 49, 226568)]
['video_1.mp4', '17.8697%', datetime.datetime(2021, 5, 8, 23, 1, 49, 382549)]
['video_3.mp4', '17.8697%', datetime.datetime(2021, 5, 8, 23, 1, 49, 399564)]
['video_2.mp4', '17.8697%', datetime.datetime(2021, 5, 8, 23, 1, 49, 415578)]
['video_1.mp4', '17.6968%', datetime.datetime(2021, 5, 8, 23, 1, 49, 571539)]
['video_3.mp4', '17.6968%', datetime.datetime(2021, 5, 8, 23, 1, 49, 587553)]
['video_2.mp4', '17.6968%', datetime.datetime(2021, 5, 8, 23, 1, 49, 603567)]
['video_1.mp4', '17.0491%', datetime.datetime(2021, 5, 8, 23, 1, 49, 763752)]
['video_3.mp4', '17.0491%', datetime.datetime(2021, 5, 8, 23, 1, 49, 780766)]
['video_2.mp4', '17.0491%', datetime.datetime(2021, 5, 8, 23, 1, 49, 795780)]
['video_1.mp4', '17.0621%', datetime.datetime(2021, 5, 8, 23, 1, 49, 949538)]
['video_3.mp4', '17.0621%', datetime.datetime(2021, 5, 8, 23, 1, 49, 966552)]
['video_2.mp4', '17.0621%', datetime.datetime(2021, 5, 8, 23, 1, 49, 982566)]
['video_1.mp4', '17.8020%', datetime.datetime(2021, 5, 8, 23, 1, 50, 136186)]
['video_3.mp4', '17.8020%', datetime.datetime(2021, 5, 8, 23, 1, 50, 153201)]
['video_2.mp4', '17.8020%', datetime.datetime(2021, 5, 8, 23, 1, 50, 169216)]
['video_1.mp4', '17.8083%', datetime.datetime(2021, 5, 8, 23, 1, 50, 326556)]
['video_3.mp4', '17.8083%', datetime.datetime(2021, 5, 8, 23, 1, 50, 340570)]
['video_2.mp4', '17.8083%', datetime.datetime(2021, 5, 8, 23, 1, 50, 356582)]
['video_1.mp4', '17.8249%', datetime.datetime(2021, 5, 8, 23, 1, 50, 511176)]
['video_3.mp4', '17.8249%', datetime.datetime(2021, 5, 8, 23, 1, 50, 527190)]
['video_2.mp4', '17.8249%', datetime.datetime(2021, 5, 8, 23, 1, 50, 543204)]
['video_1.mp4', '17.5291%', datetime.datetime(2021, 5, 8, 23, 1, 50, 697670)]
['video_3.mp4', '17.5291%', datetime.datetime(2021, 5, 8, 23, 1, 50, 713684)]
['video_2.mp4', '17.5291%', datetime.datetime(2021, 5, 8, 23, 1, 50, 730700)]
['video_1.mp4', '17.4349%', datetime.datetime(2021, 5, 8, 23, 1, 50, 886226)]
['video_3.mp4', '17.4349%', datetime.datetime(2021, 5, 8, 23, 1, 50, 902239)]
['video_2.mp4', '17.4349%', datetime.datetime(2021, 5, 8, 23, 1, 50, 919254)]
['video_1.mp4', '17.4426%', datetime.datetime(2021, 5, 8, 23, 1, 51, 73662)]
['video_3.mp4', '17.4426%', datetime.datetime(2021, 5, 8, 23, 1, 51, 90677)]
['video_2.mp4', '17.4426%', datetime.datetime(2021, 5, 8, 23, 1, 51, 106690)]
['video_1.mp4', '17.2153%', datetime.datetime(2021, 5, 8, 23, 1, 51, 261542)]
['video_3.mp4', '17.2153%', datetime.datetime(2021, 5, 8, 23, 1, 51, 277556)]
['video_2.mp4', '17.2153%', datetime.datetime(2021, 5, 8, 23, 1, 51, 293569)]
['video_1.mp4', '18.6481%', datetime.datetime(2021, 5, 8, 23, 1, 51, 449541)]
['video_3.mp4', '18.6481%', datetime.datetime(2021, 5, 8, 23, 1, 51, 465555)]
['video_2.mp4', '18.6481%', datetime.datetime(2021, 5, 8, 23, 1, 51, 480568)]
['video_1.mp4', '18.6791%', datetime.datetime(2021, 5, 8, 23, 1, 51, 636145)]
['video_3.mp4', '18.6791%', datetime.datetime(2021, 5, 8, 23, 1, 51, 656164)]
['video_2.mp4', '18.6791%', datetime.datetime(2021, 5, 8, 23, 1, 51, 672177)]
['video_1.mp4', '18.8140%', datetime.datetime(2021, 5, 8, 23, 1, 51, 828021)]
['video_3.mp4', '18.8140%', datetime.datetime(2021, 5, 8, 23, 1, 51, 843035)]
['video_2.mp4', '18.8140%', datetime.datetime(2021, 5, 8, 23, 1, 51, 858047)]
['video_1.mp4', '17.8863%', datetime.datetime(2021, 5, 8, 23, 1, 52, 13690)]
['video_3.mp4', '17.8863%', datetime.datetime(2021, 5, 8, 23, 1, 52, 30705)]
['video_2.mp4', '17.8863%', datetime.datetime(2021, 5, 8, 23, 1, 52, 46720)]
['video_1.mp4', '17.8990%', datetime.datetime(2021, 5, 8, 23, 1, 52, 203724)]
['video_3.mp4', '17.8990%', datetime.datetime(2021, 5, 8, 23, 1, 52, 218737)]
['video_2.mp4', '17.8990%', datetime.datetime(2021, 5, 8, 23, 1, 52, 235752)]
['video_1.mp4', '17.3699%', datetime.datetime(2021, 5, 8, 23, 1, 52, 391723)]
['video_3.mp4', '17.3699%', datetime.datetime(2021, 5, 8, 23, 1, 52, 407736)]
['video_2.mp4', '17.3699%', datetime.datetime(2021, 5, 8, 23, 1, 52, 423751)]
['video_1.mp4', '17.6689%', datetime.datetime(2021, 5, 8, 23, 1, 52, 579543)]
['video_3.mp4', '17.6689%', datetime.datetime(2021, 5, 8, 23, 1, 52, 596557)]
['video_2.mp4', '17.6689%', datetime.datetime(2021, 5, 8, 23, 1, 52, 612571)]
['video_1.mp4', '17.6791%', datetime.datetime(2021, 5, 8, 23, 1, 52, 768059)]
['video_3.mp4', '17.6791%', datetime.datetime(2021, 5, 8, 23, 1, 52, 785074)]
['video_2.mp4', '17.6791%', datetime.datetime(2021, 5, 8, 23, 1, 52, 801088)]
['video_1.mp4', '19.1031%', datetime.datetime(2021, 5, 8, 23, 1, 52, 954668)]
['video_3.mp4', '19.1031%', datetime.datetime(2021, 5, 8, 23, 1, 52, 971683)]
['video_2.mp4', '19.1031%', datetime.datetime(2021, 5, 8, 23, 1, 52, 987697)]
['video_1.mp4', '18.4148%', datetime.datetime(2021, 5, 8, 23, 1, 53, 145050)]
['video_3.mp4', '18.4148%', datetime.datetime(2021, 5, 8, 23, 1, 53, 161064)]
['video_2.mp4', '18.4148%', datetime.datetime(2021, 5, 8, 23, 1, 53, 177078)]
['video_1.mp4', '18.4017%', datetime.datetime(2021, 5, 8, 23, 1, 53, 337565)]
['video_3.mp4', '18.4017%', datetime.datetime(2021, 5, 8, 23, 1, 53, 350578)]
['video_2.mp4', '18.4017%', datetime.datetime(2021, 5, 8, 23, 1, 53, 366590)]
['video_1.mp4', '16.9774%', datetime.datetime(2021, 5, 8, 23, 1, 53, 522727)]
['video_3.mp4', '16.9774%', datetime.datetime(2021, 5, 8, 23, 1, 53, 538741)]
['video_2.mp4', '16.9774%', datetime.datetime(2021, 5, 8, 23, 1, 53, 554756)]
